Raza,Hipoalergenico,Vida_Min,Vida_Max,Peso_Macho,Peso_Hembra,Descripcion,Vida_Promedio,Peso_Promedio,Longevidad,Tamaño,Aptitud
Affenpinscher,Sí,14,16,5,5,"The Affenpinscher is a small and playful breed of dog that was originally bred in Germany for hunting small game. They are intelligent, energetic, and affectionate, and make excellent companion dogs.",15.0,5.0,Alta,Pequeño,Cazador
Afghan Hound,No,12,14,27,25,"The Afghan Hound is a large and elegant breed of dog that was originally bred in Afghanistan for hunting small game. They are intelligent, independent, and athletic, and make excellent companion dogs.",13.0,26.0,Media,Grande,Cazador
Airedale Terrier,No,12,14,23,20,"The Airedale Terrier is a large and powerful breed of dog that was originally bred in England for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",13.0,21.5,Media,Mediano,Cazador
Akita,No,10,12,60,50,"The Akita is a large, muscular dog breed that originated in Japan. They are known for their loyalty and courage.",11.0,55.0,Media,Gigante,General
Alaskan Klee Kai,No,12,15,7,7,The Alaskan Klee Kai is a small to medium-sized breed of dog that was developed in Alaska in the 1970s. It is an active and intelligent breed that is loyal and friendly. The Alaskan Klee Kai stands between 13-17 inches at the shoulder and has a double-coat that can come in various colors and patterns.,13.5,7.0,Alta,Pequeño,General
Alaskan Malamute,No,12,15,39,34,"The Alaskan Malamute is a large and powerful sled dog from Alaska. They are strong and hardworking, yet friendly and loyal. Alaskan Malamutes have a thick, double coat that can be any color. They are active and require plenty of exercise and mental stimulation to stay healthy and happy.",13.5,36.5,Alta,Grande,General
American Bulldog,No,12,14,50,45,"The American Bulldog is a large and powerful breed of dog that was originally bred in the United States for working on farms. They are intelligent, loyal, and protective, and make excellent guard dogs.",13.0,47.5,Media,Gigante,Guardián
American English Coonhound,No,12,14,30,30,"The American English Coonhound is a large and athletic breed of dog that was originally bred in the United States for hunting raccoons. They are intelligent, energetic, and determined, and make excellent hunting dogs.",13.0,30.0,Media,Grande,Cazador
American Eskimo Dog,No,12,15,20,20,"The American Eskimo Dog is a small to medium-sized breed with a thick, fluffy coat that comes in white, cream, or biscuit colors. It is known for its intelligence and its ability to learn a wide variety of tricks.",13.5,20.0,Alta,Mediano,General
American Foxhound,No,12,15,34,34,"The American Foxhound is a large and athletic breed of dog that was originally bred in the United States for hunting foxes. They are intelligent, energetic, and determined, and make excellent hunting dogs.",13.5,34.0,Alta,Grande,Cazador
